DeSPAC Ticker,DeSPAC Company,SPAC Ticker/Name,Pre-Merger Name,Compl. Date,Comm. Rtrn %,Ann. Return %,Comm. Price,Comm. % Chg,Mkt. Cap,Warr. Status,Warr. Price,IPO Date,IPO Size (M),Target Focus,Prom. Leaders,Underwriters,Clos. PR Link,SEC Filings,Post-Close S-1 File Date,S-1 Effective Date,Warr. Ex. Date,Warr. Ex D.L.
AUR,"Aurora Innovation, Inc.",RTPY Reinvent Technology Partners Y,,11/3/2021,-53.30%,,$4.67 ,1.50%,"$3,002,200,789 ",Warrants Trading,$0.98 ,3/15/2021,$977.50 ,Tech,"Reid Hoffman (Co-founder and Former CEO,...",Morgan Stanley,Clos. PR Link,SEC Filings,11/5/2021,11/15/2021,3/15/2022,
LTRY,Lottery.com Inc.,TDAC Trident Acquisitions Corp,,10/29/2021,-64.00%,-16.90%,$3.60 ,4.70%,"$181,369,728 ",,,5/29/2018,$201.30 ,"Oil and Gas, Natural Resources, Europe",,"Chardan, I-Bankers",Clos. PR Link,SEC Filings,11/18/2021,11/26/2021,11/29/2021,
NN,NextNav Inc.,TMTS Spartacus Acquisition Corporation,,10/28/2021,-37.30%,-26.70%,$6.27 ,3.60%,"$598,630,344 ",Warrants Trading,$1.40 ,10/15/2020,$203.00 ,"TMT (Telecom, Media, Tech)",,B. Riley,Clos. PR Link,SEC Filings,11/2/2021,11/23/2021,11/28/2021,
BTTX,"Better Therapeutics, Inc.",MCAD Mountain Crest Acquisition Corp. II,,10/28/2021,-70.90%,-60.70%,$2.91 ,16.40%,"$68,675,179 ",,,1/7/2021,$57.50 ,,"Dr. Suying Liu (Chairman/CEO, MCAC)",Chardan,Clos. PR Link,SEC Filings,11/29/2021,12/9/2021,1/7/2022,
RDBX,Redbox Entertainment Inc.,SGAM Seaport Global Acquisition Corp.,,10/22/2021,-81.20%,-63.90%,$1.88 ,-7.80%,"$23,722,810 ",Warrants Trading,$0.23 ,11/30/2020,$145.20 ,,,B. Riley Securities,Clos. PR Link,SEC Filings,12/1/2021,12/10/2021,11/30/2021,
SABS,SAB Biotherapeutics,BCYP Big Cypress Acquisition Corp.,,10/22/2021,-77.10%,-66.70%,$2.29 ,-0.20%,"$99,339,870 ",Warrants Trading,$0.25 ,1/11/2021,$116.20 ,"Life Sciences, Healthcare",,Ladenburg Thalmann,Clos. PR Link,SEC Filings,12/3/2021,12/16/2021,1/11/2022,
BBLN,"Babylon Holdings, Ltd.",KURI Alkuri Global Acquisition Corp.,,10/21/2021,-47.90%,-44.00%,$5.21 ,-0.60%,"$1,720,639,929 ",Warrants Trading,$0.62 ,2/5/2021,$345.00 ,"Consumer Internet and Marketplaces, Heal...","Rich Williams (Fmr CEO, Groupon), Sultan...",Jefferies,Clos. PR Link,SEC Filings,11/9/2021,12/1/2021,2/5/2022,
MIR,"Mirion Technologies, Inc.",GSAH GS Acquisition Holdings II,,10/20/2021,-14.20%,-8.40%,$8.58 ,6.10%,"$1,711,909,845 ",Warrants Trading,$1.86 ,6/30/2020,$750.00 ,,"Goldman Sachs, Steven Reinemund (Former ...","Goldman Sachs, Citigroup",Clos. PR Link,SEC Filings,10/27/2021,11/5/2021,11/20/2021,
WE,WeWork,BOWX BowX Acquisition Corp.,,10/20/2021,-48.00%,-30.20%,$5.20 ,4.80%,"$3,621,762,565 ",Warrants Trading,$0.96 ,8/5/2020,$483.00 ,"TMT (Tech, Media, Telecom)",Vivek Ranadive (Founder of TIBCO Softwar...,UBS,Clos. PR Link,SEC Filings,11/10/2021,12/29/2021,11/20/2021,
NVTS,Navitas Semiconductor,LOKB Live Oak Acquisition Corp. II,,10/19/2021,-15.20%,-12.00%,$8.48 ,2.80%,"$998,380,139 ",Warrants Trading,$2.15 ,12/2/2020,$253.00 ,,,"Jefferies, BofA Securities",Clos. PR Link,SEC Filings,11/24/2021,12/7/2021,12/2/2021,3/7/2021
ASTL,Algoma Steel Group Inc.,LEGO Legato Merger Corp.,,10/19/2021,3.90%,3.40%,$10.39 ,4.50%,"$1,537,281,438 ",,,1/19/2021,$235.80 ,"Renewables, Infrastructure, Energy, Cons...","Eric Rosenfeld (Fmr CEO, Allegro Merger ...",EarlyBirdCapital,Clos. PR Link,SEC Filings,10/27/2021,11/8/2021,1/19/2022,
SEAT,"Vivid Seats, Inc.",HZAC Horizon Acquisition Corp,,10/18/2021,15.90%,10.30%,$11.59 ,5.20%,"$891,832,338 ",Warrants Trading,$3.48 ,8/20/2020,$544.00 ,"Financial Services, Fintech, Insurance T...","Todd Boehly (Founder/CEO, Elridge), Haro...","Credit Suisse, RBC Capital Markets",Clos. PR Link,SEC Filings,11/5/2021,1/3/2022,11/18/2021,
BKKT,"Bakkt Holdings, Inc.",VIH VPC Impact Acquisition Holdings,,10/15/2021,-43.80%,-30.00%,$5.62 ,20.10%,"$321,263,270 ",Warrants Trading,$1.70 ,9/22/2020,$207.40 ,Fintech,,Jefferies,Clos. PR Link,SEC Filings,11/12/2021,12/16/2021,11/15/2021,
ENJY,"Enjoy Technology, Inc.",MRAC Marquee Raine Acquisition Corp.,,10/15/2021,-64.20%,-52.10%,$3.58 ,12.20%,"$428,246,280 ",Warrants Trading,$0.20 ,12/14/2020,$373.80 ,TMT,"Crane Kenney (President of Business Ops,...",Credit Suisse,Clos. PR Link,SEC Filings,10/28/2021,11/12/2021,12/14/2021,
GWH,"ESS Tech, Inc.",STWO ACON S2 Acquisition Corp.,,10/8/2021,-50.90%,-34.50%,$4.91 ,-1.40%,"$749,053,564 ",Warrants Trading,$0.75 ,9/17/2020,$250.00 ,Sustainability,"Adam Kriger (Exec Partner, ACON Investme...","Deutsche Bank, Cowen, Stifel",Clos. PR Link,SEC Filings,11/3/2021,11/12/2021,11/8/2021,
ARBE,Arbe Robotics Ltd.,"ITAC Industrial Tech Acquisitions, Inc.",,10/7/2021,-33.20%,-22.20%,$6.68 ,2.10%,"$415,064,826 ",Warrants Trading,$0.91 ,9/8/2020,$77.00 ,"Industrial Tech, Energy Tech, Software, ...",,Maxim,Clos. PR Link,SEC Filings,9/24/2021,11/3/2021,11/7/2021,
SNCE,"Science 37 Holdings, Inc.",LSAQ LifeSci Acquisition II Corp,,10/6/2021,-44.90%,-34.60%,$5.51 ,0.20%,"$632,036,397 ",,,11/20/2020,$80.10 ,Healthcare,,LifeSci Capital,Clos. PR Link,SEC Filings,11/5/2021,1/26/2022,,
WBX,Wallbox N.V.,KCAC Kensington Capital Acquisition Corp. II,"Wall Box Chargers, S.L.",10/1/2021,26.60%,25.80%,$12.66 ,2.00%,"$1,743,785,298 ",Warrants Trading,$3.44 ,2/25/2021,$230.00 ,"Automotive, North America","Justin Mirro (Director, QuantumScape), T...","UBS, Stifel",Clos. PR Link,SEC Filings,11/1/2021,11/15/2021,2/25/2022,
ROIV,Roivant Sciences,MAAC Montes Archimedes Acquisition Corp.,,9/30/2021,-45.80%,-32.20%,$5.42 ,3.80%,"$3,751,031,237 ",Warrants Trading,$0.96 ,10/6/2020,$410.70 ,Healthcare,,"Citigroup, Jefferies",Clos. PR Link,SEC Filings,10/29/2021,11/10/2021,10/30/2021,
IONQ,"IonQ, Inc.","DMYI dMY Technology Group, Inc. III",,9/30/2021,25.00%,18.90%,$12.50 ,6.20%,"$2,406,088,800 ",Warrants Trading,$3.97 ,11/12/2020,$300.00 ,"Mobile Apps, Consumer Internet, Tech","Niccolo de Masi (CEO of DMYT, DMYD), Har...",Goldman Sachs,Clos. PR Link,SEC Filings,10/4/2021,10/25/2021,11/12/2021,
KORE,KORE Group Holdings,CTAC Cerberus Telecom Acquisition Corp,,9/30/2021,-50.00%,-36.20%,$5.00 ,0.20%,"$359,947,160 ",Warrants Trading,$0.75 ,10/21/2020,$259.20 ,Information and Communications Technolog...,"Timothy Donahue (Fmr CEO, Nextel; Fmr Ex...","Morgan Stanley, Deutsche Bank",Clos. PR Link,SEC Filings,10/15/2021,11/3/2021,10/30/2021,
PROC,Procaps Group,LATN Union Acquisition Corp II,,9/29/2021,-5.90%,-2.50%,$9.41 ,2.30%,"$1,061,675,562 ",Warrants Trading,$0.63 ,10/18/2019,$200.00 ,Latin America,,Cantor,Clos. PR Link,SEC Filings,11/24/2021,12/7/2021,10/29/2021,
BHIL,"Benson Hill Holdings, Inc.",STPC Star Peak Corp II,,9/29/2021,-65.90%,-56.20%,$3.41 ,-6.30%,"$607,180,293 ",Warrants Trading,$0.52 ,1/5/2021,$402.50 ,Sustainability (including clean energy a...,"Michael C. Morgan (Lead Director, Kinder...","Credit Suisse, Goldman Sachs",,SEC Filings,9/21/2021,10/5/2021,1/5/2022,
VLN,Valens Semiconductor Ltd.,PTK PTK Acquisition,,9/29/2021,-43.30%,-26.20%,$5.67 ,-1.20%,"$556,389,474 ",Warrants Trading,$0.43 ,7/13/2020,$115.00 ,Tech,,Chardan,Clos. PR Link,SEC Filings,10/20/2021,10/28/2021,10/29/2021,
